cpd_id
m01721
m01368
m02847
m02038
m02554
m02552
m01974
m03100
m02470
m02040
m02769
m02723
m02630
m03134
m01307
m01369
m01365
m01588
m01442
m03113
m02680
m02945
m03106
m02407
m02414
m02403
m02418
m01641
m01982
m02386
m02673
m01830
m03101
m01252
m01306
m01687
m02389
m01695
m02785
m02937
m02384
m03044
m01410
m02896
m02744
m01740
m01253
m00157
m00648
m02182
m02199
m01861
m02833
m01987
m02026
m02170
m01629
m02353
m01796
m02907
m02962
m01788
m01966
m01797
m01938
m01397
m01398
m01445
m01672
m01789
m02159
m02452
m02997
m03117
m01260
m01396
m01999
m02037
m02843
m02928
m02961
m02524
m02983
m01962
m01280
m01614
m01668
m02369
m02153
m02994
m01665
m02926
m02578
m03147
m01628
m03120
m01413
m02949
m02740
m00970
m01638
m01786
m01714
m02354
m01450
m01587
m01659
m02786
m02813
m02968
m01986
m01513
m02957
m01596
m02770
m01401
m02453
m02174
m01368
m02357
m01383
m01334
m01795
m01959
m02783
m02789
m02841
m02996
m01621
m02022
m01613
m01730
m02027
m02118
m02691
m03146
m01569
m02642
m01370
m02985
m01704
m01840
m02817
m02982
m02136
m01438
m02885
m00626
m03098
m01285
m01666
m01673
m02362
m02587
m01745
m02998
m02814
m01671
m02658
m02924
m00549
m00516
m01288
m02583
m01289
m00268
m00267
m02104
m02556
m02048
m02387
m02724
m03135
m03157
m02617
m01290
m00536
m02049
m01517
m01525
m01533
m01543
m01554
m02842
m02588
m01935
m02050
m02370
m01758
m01115
m02903
m01279
m02337
m01590
m01619
m02348
m01737
m02150
m02164
m02198
m01159
m01944
m00097
m01945
m01948
m01393
m02019
m02023
m02167
m02364
m02815
m02930
m02936
m03118
m03123
m02191
m01743
m03151
m02516
m02462
m01308
m02450
m01965
m02445
m01913
m01983
m01910
m01315
m03121
m03130
m03114
m01626
m02527
m02672
m01652
m02631
m01362
m02366
m01111
m01570
m02278
m02237
m00266
m00269
m01700
m02692
m02980
m02119
m02105
m02046
m01585
m01741
m02675
m02938
m02646
m02494
m01696
m01784
m02674
m01689
m02047
m01451
m02352
m02560
m02909
m01648
m02108
m02120
m02614
m01374
m01296
m01403
m01174
m00932
m00545
m00228
m00242
m02772
m02746
m02993
m03089
m01975
m02946
m01821
m02519
m02200
m02477
m01736
m01107
m01100
m02754
m02042
m01400
m02054
m02288
m02303
m02141
m02139
m02510
m01712
m02880
m02586
m01327
m01330
m02145
m02440
m02661
m02394
m01356
m01818
m00353
m00613
m00035
m01019
m00620
m01415
m00665
m00730
m01433
m02325
m01633
m00998
m01003
m01007
m01021
m01033
m01069
m01070
m01071
m01109
m01158
m01249
m01256
m03096
m02902
m00744
m01711
m03138
m01799
m01309
m01338
m01339
m01344
m01326
m00002
m00580
m01361
m01419
m01385
m00001
m01418
m01988
m02963
m01595
m01617
m01632
m01630
m01098
m01647
m01655
m01768
m00577
m01298
m01787
m00402
m01850
m01851
m01852
m01853
m02331
m01919
m01914
m01915
m01916
m01917
m02016
m02018
m02024
m02034
m00986
m01163
m02171
m00816
m02475
m01244
m01245
m00032
m00204
m02722
m01742
m01744
m00179
m02931
m02897
m03001
m00734
m02969
m02967
m03141
m03142
m00325
m00371
m00403
m00432
m03154
m01800
m01640
m01286
m01287
m02155
m01989
m01020
m01303
m01870
m01872
m01887
m02659
m02137
m01874
m01881
m01883
m01884
m01603
m01604
m01955
m00771
m02458
m01610
m01612
m01006
m03161
m03039
m02332
m02751
m02193
m02161
m02426
m02360
m02834
m02561
m02125
m02184
m02471
m02819
m01716
m03155
m02001
m02338
m01615
m01669
m01765
m01833
m01859
m02028
m02609
m02620
m02653
m02712
m02836
m02943
m02986
m03052
m02991
m01682
m03131
m02434
m01435
m02402
m03129
m02966
m02965
m02000
m02004
m90166
m90168
m90169
m00745
m90170
m90171
m02964
m90172
m90173
m90174
m90175
m90177
m90178
m90179
m90180
m90181
m90190
m90191
m90192
m90193
m90194
m90195
m90197
m90199
m90200
m01849
m02565
m99999
