2aeppn_e,
2h3mb_e,
2h3mp_e,
2hxic__L_e,
2mba_e,
2mbald_e,
2mpa_e,
3mba_e,
3mbal_e,
4abut_e,
4abz_e,
ac_e,
acald_e,
acgala_e,
acgam_e,
acmana_e,
actn__R_e,
ade_e,
akg_e,
ala__D_e,
ala__L_e,
arg__L_e,
asn__L_e,
asp__L_e,
btd_RR_e,
bzal_e,
cellb_e,
ch4s_e,
chol_e,
cit_e,
co2_e,
cys__L_e,
dha_e,
diact_e,
drib_e,
etoh_e,
fe2_e,
fe3_e,
fol_e,
for_e,
fru_e,
gal_e,
galt_e,
gcald_e,
glc__D_e,
glcn__D_e,
gln__L_e,
glu__L_e,
gly_e,
glyb_e,
glyc3p_e,
glyc_e,
gua_e,
h2o_e,
h2s_e,
h_e,
his__L_e,
hxan_e,
ile__L_e,
ins_e,
lac__L_e,
lcts_e,
leu__L_e,
lys__L_e,
mal__L_e,
malt_e,
man_e,
met__D_e,
met__L_e,
mn2_e,
mnl_e,
nac_e,
nh4_e,
nmn_e,
o2_e,
orn__L_e,
orot_e,
pacald_e,
pea_e,
phe__L_e,
pi_e,
pnto__R_e,
ppi_e,
pro__L_e,
ptrc_e,
pyr_e,
rib__D_e,
ribflv_e,
sbt__D_e,
ser__D_e,
ser__L_e,
so4_e,
spmd_e,
succ_e,
sucr_e,
thm_e,
thr__L_e,
thymd_e,
tre_e,
trp__L_e,
tyr__L_e,
ura_e,
val__L_e,
xan_e,
zn2_e,
