mththf_c,
succ_c,
ac_e,
ala__D_e,
alaala_e,
alltn_e,
arab__L_e,
araban__L_e,
arg__L_e,
asn__L_e,
asp__L_e,
btd_RR_e,
btn_e,
btoh_e,
but_e,
ca2_e,
citr__L_e,
cl_e,
co_e,
co2_e,
cobalt2_e,
csn_e,
cu2_e,
cys__L_e,
etoh_e,
fe2_e,
fol_e,
for_e,
fru_e,
gal_e,
galctn__D_e,
galur_e,
glc__D_e,
glcn_e,
glcur_e,
gln__L_e,
glu__L_e,
gly_e,
glyb_e,
glyc_e,
h_e,
h2_e,
h2o_e,
his__L_e,
ile__L_e,
k_e,
lac__D_e,
lac__L_e,
leu__L_e,
lys__L_e,
malt_e,
malthx_e,
malttr_e,
man_e,
met__L_e,
mg2_e,
mn2_e,
mobd_e,
murein4p3p_e,
murein4p4p_e,
murein4px4p_e,
murein4px4px4p_e,
murein5p3p_e,
murein5p4p_e,
murein5p5p_e,
murein5p5p5p_e,
murein5px3p_e,
murein5px4p_e,
murein5px4px4p_e,
na1_e,
nh4_e,
ni2_e,
no2_e,
no3_e,
pi_e,
pro__L_e,
ptrc_e,
pydxn_e,
pyr_e,
rib__D_e,
ribflv_e,
rmn_e,
ser__D_e,
ser__L_e,
so4_e,
spmd_e,
taur_e,
thm_e,
trp__L_e,
uaagmda_e,
udcpdp_e,
udcpp_e,
ura_e,
val__L_e,
xan_e,
xyl__D_e,
zn2_e,
