4crsol_c,
5drib_c,
aacald_c,
amob_c,
mththf_c,
oxam_c,
12ppd__R_e,
12ppd__S_e,
14glucan_e,
15dap_e,
23camp_e,
23ccmp_e,
23cgmp_e,
23cump_e,
23dappa_e,
26dap__M_e,
2ddglcn_e,
34dhpac_e,
3amp_e,
3cmp_e,
3gmp_e,
3hcinnm_e,
3hpp_e,
3hpppn_e,
3ump_e,
4abut_e,
4hoxpacd_e,
5dglcn_e,
5mtr_e,
LalaDglu_e,
LalaDgluMdap_e,
LalaDgluMdapDala_e,
LalaLglu_e,
ac_e,
acac_e,
acald_e,
acgal_e,
acgal1p_e,
acgam_e,
acgam1p_e,
acmana_e,
acmum_e,
acnam_e,
acolipa_e,
acser_e,
ade_e,
adn_e,
adocbl_e,
ag_e,
agm_e,
akg_e,
ala_B_e,
ala__D_e,
ala__L_e,
alaala_e,
all__D_e,
alltn_e,
amp_e,
anhgm_e,
arab__L_e,
arbt_e,
arbtn_e,
arbtn_fe3_e,
arg__L_e,
ascb__L_e,
asn__L_e,
aso3_e,
asp__L_e,
btn_e,
but_e,
butso3_e,
ca2_e,
cbi_e,
cbl1_e,
cd2_e,
cgly_e,
chol_e,
chtbs_e,
cit_e,
cl_e,
cm_e,
cmp_e,
co2_e,
cobalt2_e,
colipa_e,
colipap_e,
cpgn_e,
cpgn_un_e,
crn_e,
crn__D_e,
csn_e,
cu_e,
cu2_e,
cyan_e,
cynt_e,
cys__D_e,
cys__L_e,
cytd_e,
dad_2_e,
damp_e,
dca_e,
dcmp_e,
dcyt_e,
ddca_e,
dgmp_e,
dgsn_e,
dha_e,
dimp_e,
din_e,
dms_e,
dmso_e,
dopa_e,
doxrbcn_e,
dtmp_e,
dump_e,
duri_e,
eca4colipa_e,
enlipa_e,
enter_e,
etha_e,
ethso3_e,
etoh_e,
f6p_e,
fald_e,
fe2_e,
fe3_e,
fe3dcit_e,
fe3dhbzs_e,
fe3hox_e,
fe3hox_un_e,
fecrm_e,
fecrm_un_e,
feenter_e,
feoxam_e,
feoxam_un_e,
for_e,
fru_e,
frulys_e,
fruur_e,
fuc__L_e,
fum_e,
fusa_e,
g1p_e,
g3pc_e,
g3pe_e,
g3pg_e,
g3pi_e,
g3ps_e,
g6p_e,
gal_e,
gal_bD_e,
gal1p_e,
galct__D_e,
galctn__D_e,
galctn__L_e,
galt_e,
galur_e,
gam_e,
gam6p_e,
gbbtn_e,
gdp_e,
glc__D_e,
glcn_e,
glcr_e,
glcur_e,
glcur1p_e,
gln__L_e,
glu__L_e,
gly_e,
glyald_e,
glyb_e,
glyc_e,
glyc__R_e,
glyc2p_e,
glyc3p_e,
glyclt_e,
gmp_e,
gsn_e,
gthox_e,
gthrd_e,
gtp_e,
gua_e,
h_e,
h2_e,
h2o_e,
h2o2_e,
h2s_e,
hacolipa_e,
halipa_e,
hdca_e,
hdcea_e,
hg2_e,
his__L_e,
hom__L_e,
hxa_e,
hxan_e,
idon__L_e,
ile__L_e,
imp_e,
indole_e,
inost_e,
ins_e,
isetac_e,
k_e,
kdo2lipid4_e,
lac__D_e,
lac__L_e,
lcts_e,
leu__L_e,
lipa_e,
lipa_cold_e,
lipoate_e,
lys__L_e,
lyx__L_e,
mal__D_e,
mal__L_e,
malt_e,
malthx_e,
maltpt_e,
malttr_e,
maltttr_e,
man_e,
man6p_e,
manglyc_e,
melib_e,
meoh_e,
met__D_e,
met__L_e,
metsox_R__L_e,
metsox_S__L_e,
mg2_e,
mincyc_e,
minohp_e,
mmet_e,
mn2_e,
mnl_e,
mobd_e,
mso3_e,
n2o_e,
na1_e,
nac_e,
nh4_e,
ni2_e,
nmn_e,
no_e,
no2_e,
no3_e,
novbcn_e,
o16a4colipa_e,
o2_e,
o2s_e,
ocdca_e,
ocdcea_e,
octa_e,
orn_e,
orot_e,
pacald_e,
peamn_e,
phe__L_e,
pheme_e,
pi_e,
pnto__R_e,
ppa_e,
ppal_e,
pppn_e,
ppt_e,
pro__L_e,
progly_e,
psclys_e,
pser__L_e,
ptrc_e,
pydam_e,
pydx_e,
pydxn_e,
pyr_e,
quin_e,
r5p_e,
rfamp_e,
rib__D_e,
rmn_e,
sbt__D_e,
sel_e,
ser__D_e,
ser__L_e,
skm_e,
slnt_e,
so2_e,
so3_e,
so4_e,
spmd_e,
succ_e,
sucr_e,
sulfac_e,
tartr__D_e,
tartr__L_e,
taur_e,
tcynt_e,
thm_e,
thr__L_e,
thrp_e,
thym_e,
thymd_e,
tma_e,
tmao_e,
tre_e,
trp__L_e,
tsul_e,
ttdca_e,
ttdcea_e,
ttrcyc_e,
tungs_e,
tym_e,
tyr__L_e,
tyrp_e,
uacgam_e,
udpacgal_e,
udpg_e,
udpgal_e,
udpglcur_e,
ump_e,
ura_e,
urea_e,
uri_e,
val__L_e,
xan_e,
xmp_e,
xtsn_e,
xyl__D_e,
xylu__L_e,
zn2_e,
