Abbreviation,Description,Neutral formula,Charged formula,Charge,Compartment,KEGG ID,PubChem ID,ChEBI ID,InChI string,SMILES
m02136[c],homoserine,C4H9NO3,C4H9NO3,0,c,C00263,,CHEBI:15699,,
m02136[s],homoserine,C4H9NO3,C4H9NO3,0,s,C00263,,CHEBI:15699,,
m01713[c],dithiothreitol,C4H10O2S2,C4H10O2S2,0,c,C00265,,CHEBI:18320,,
m01997[c],glycolaldehyde,C2H4O2,C2H4O2,0,c,C00266,,CHEBI:17071,,
m01997[m],glycolaldehyde,C2H4O2,C2H4O2,0,m,C00266,,CHEBI:17071,,
m01698[c],dihydrobiopterin,C9H13N5O3,C9H13N5O3,0,c,C00268,,,,
m02823[c],quinonoid dihydrobiopterin,C9H13N5O3,C9H13N5O3,0,c,C00268,,,,
m02823[n],quinonoid dihydrobiopterin,C9H13N5O3,C9H13N5O3,0,n,C00268,,,,
m01426[m],CDP-diacylglycerol-CL pool,C14H19N3O15P2R2,C14H19N3O15P2R2,0,m,C00269,,,,
m01427[c],CDP-diacylglycerol-LD-PI pool,C14H19N3O15P2R2,C14H19N3O15P2R2,0,c,C00269,,,,
m01427[l],CDP-diacylglycerol-LD-PI pool,C14H19N3O15P2R2,C14H19N3O15P2R2,0,l,C00269,,,,
m01427[r],CDP-diacylglycerol-LD-PI pool,C14H19N3O15P2R2,C14H19N3O15P2R2,0,r,C00269,,,,
m02543[c],Neu5Ac,C11H19NO9,C11H19NO9,0,c,C00270,,CHEBI:17012,,
m02543[l],Neu5Ac,C11H19NO9,C11H19NO9,0,l,C00270,,CHEBI:17012,,
m02543[n],Neu5Ac,C11H19NO9,C11H19NO9,0,n,C00270,,CHEBI:17012,,
m02978[c],tetrahydrobiopterin,C9H15N5O3,C9H15N5O3,0,c,C00272,,CHEBI:15372,,
m02978[n],tetrahydrobiopterin,C9H15N5O3,C9H15N5O3,0,n,C00272,,CHEBI:15372,,
m02455[c],mannose-6-phosphate,C6H13O9P,C6H13O9P,0,c,C00275,,CHEBI:17369,,
m01785[c],erythrose-4-phosphate,C4H9O7P,C4H9O7P,0,c,C00279,,CHEBI:48153,,
m00971[c],"4-androstene-3,17-dione",C19H26O2,C19H26O2,0,c,C00280,,CHEBI:16422,,
m00971[r],"4-androstene-3,17-dione",C19H26O2,C19H26O2,0,r,C00280,,CHEBI:16422,,
m02042[c],H2S,H2S,H2S,0,c,C00283,,CHEBI:16136,,
m02042[s],H2S,H2S,H2S,0,s,C00283,,CHEBI:16136,,
