Abbreviation,Description,Neutral formula,Charged formula,Charge,Compartment,KEGG ID,PubChem ID,ChEBI ID,InChI string,SMILES
m02583[s],nicotinamide,C6H6N2O,C6H6N2O,0,s,C00153,,CHEBI:17154,,
m02677[c],palmitoleoyl-CoA,C37H64N7O17P3S,C37H64N7O17P3S,0,c,C00154,,CHEBI:53152,,
m02677[m],palmitoleoyl-CoA,C37H64N7O17P3S,C37H64N7O17P3S,0,m,C00154,,CHEBI:53152,,
m02677[p],palmitoleoyl-CoA,C37H64N7O17P3S,C37H64N7O17P3S,0,p,C00154,,CHEBI:53152,,
m02677[r],palmitoleoyl-CoA,C37H64N7O17P3S,C37H64N7O17P3S,0,r,C00154,,CHEBI:53152,,
m02678[c],palmitoyl-CoA,C37H66N7O17P3S,C37H66N7O17P3S,0,c,C00154,,CHEBI:15525,,
m02678[m],palmitoyl-CoA,C37H66N7O17P3S,C37H66N7O17P3S,0,m,C00154,,CHEBI:15525,,
m02678[p],palmitoyl-CoA,C37H66N7O17P3S,C37H66N7O17P3S,0,p,C00154,,CHEBI:15525,,
m02678[r],palmitoyl-CoA,C37H66N7O17P3S,C37H66N7O17P3S,0,r,C00154,,CHEBI:15525,,
m02133[c],homocysteine,C4H9NO2S,C4H9NO2S,0,c,C00155,,CHEBI:17588,,
m00995[c],4-hydroxybenzoate,C7H6O3,C7H6O3,0,c,C00156,,CHEBI:30763,,
m00995[m],4-hydroxybenzoate,C7H6O3,C7H6O3,0,m,C00156,,CHEBI:30763,,
m02684[c],PC-LD pool,C10H19NO8PR2,C10H19NO8PR2,0,c,C00157,,CHEBI:16110,,
m02684[g],PC-LD pool,C10H19NO8PR2,C10H19NO8PR2,0,g,C00157,,CHEBI:16110,,
m02684[l],PC-LD pool,C10H19NO8PR2,C10H19NO8PR2,0,l,C00157,,CHEBI:16110,,
m02684[r],PC-LD pool,C10H19NO8PR2,C10H19NO8PR2,0,r,C00157,,CHEBI:16110,,
m02684[s],PC-LD pool,C10H19NO8PR2,C10H19NO8PR2,0,s,C00157,,CHEBI:16110,,
m01587[c],citrate,C6H8O7,C6H8O7,0,c,C00158,,CHEBI:30769,,
m01587[m],citrate,C6H8O7,C6H8O7,0,m,C00158,,CHEBI:30769,,
m01587[s],citrate,C6H8O7,C6H8O7,0,s,C00158,,CHEBI:30769,,
m02453[c],mannose,C6H12O6,C6H12O6,0,c,C00159,,CHEBI:4208;CHEBI:16024,,
m02453[g],mannose,C6H12O6,C6H12O6,0,g,C00159,,CHEBI:4208;CHEBI:16024,,
m02453[l],mannose,C6H12O6,C6H12O6,0,l,C00159,,CHEBI:4208;CHEBI:16024,,
m02453[r],mannose,C6H12O6,C6H12O6,0,r,C00159,,CHEBI:4208;CHEBI:16024,,
m02453[s],mannose,C6H12O6,C6H12O6,0,s,C00159,,CHEBI:4208;CHEBI:16024,,
m01998[c],glycolate,C2H4O3,C2H4O3,0,c,C00160,,CHEBI:17497,,
m01998[m],glycolate,C2H4O3,C2H4O3,0,m,C00160,,CHEBI:17497,,
m01998[p],glycolate,C2H4O3,C2H4O3,0,p,C00160,,CHEBI:17497,,
m01807[s],fatty acid-chylomicron pool,CHO2R,CHO2R,0,s,C00162,,,,
m01808[c],fatty acid-LD-PC pool,CHO2R,CHO2R,0,c,C00162,,CHEBI:35366,,
m01808[l],fatty acid-LD-PC pool,CHO2R,CHO2R,0,l,C00162,,CHEBI:35366,,
m01808[r],fatty acid-LD-PC pool,CHO2R,CHO2R,0,r,C00162,,CHEBI:35366,,
m01809[c],fatty acid-LD-PE pool,CHO2R,CHO2R,0,c,C00162,,CHEBI:35366,,
m01810[c],fatty acid-LD-PI pool,CHO2R,CHO2R,0,c,C00162,,CHEBI:35366,,
m01811[c],fatty acid-LD-PS pool,CHO2R,CHO2R,0,c,C00162,,CHEBI:35366,,
m01812[c],fatty acid-LD-SM pool,CHO2R,CHO2R,0,c,C00162,,CHEBI:35366,,
m01813[c],fatty acid-LD-TG1 pool,CHO2R,CHO2R,0,c,C00162,,CHEBI:35366,,
m01813[l],fatty acid-LD-TG1 pool,CHO2R,CHO2R,0,l,C00162,,CHEBI:35366,,
m01814[c],fatty acid-LD-TG2 pool,CHO2R,CHO2R,0,c,C00162,,CHEBI:35366,,
m01815[c],fatty acid-LD-TG3 pool,CHO2R,CHO2R,0,c,C00162,,CHEBI:35366,,
